0.790433502337890 - 0.518620275239538i	0.363631583373310 - 0.734390642395422i	-0.0523832390356957 - 0.674043106794427i	-0.321255872469702 - 0.328356668948092i	-0.257409943060043 + 0.337332073783341i	-0.0294851350588568 + 0.649940063213123i	0.329205465215120 + 0.764304664358137i	0.786554894251129 + 0.507151213603951i
0.826213505627957 - 0.482015500742331i	0.378679502667985 - 0.744438183229724i	-0.0556173535468906 - 0.660336739404327i	-0.244190516732308 - 0.315011130457022i	-0.258254036342397 + 0.391621051822737i	-0.0783430836702781 + 0.640312330888694i	0.367118419018465 + 0.783709682182474i	0.784158077789750 + 0.493786914008249i
0.801428248014361 - 0.528480003887290i	0.327609247596636 - 0.798396262258603i	-0.0898465890389271 - 0.657502751748038i	-0.304388130355590 - 0.367679862593483i	-0.273110993090814 + 0.362836726153244i	-0.0831822912531144 + 0.678788948581954i	0.379047192636210 + 0.739485445969310i	0.855240839439321 + 0.499830023872438i
0.801581538441138 - 0.509067339990334i	0.373556051353080 - 0.763116444416710i	-0.0856420434522245 - 0.661812038834207i	-0.321004966262175 - 0.352281985189009i	-0.313740326361749 + 0.327883150150670i	-0.120126295655657 + 0.646790025959894i	0.385527350787596 + 0.754847114416363i	0.773701302055910 + 0.506249201764231i
0.823204579212211 - 0.527857028249877i	0.357290926326314 - 0.733846202156534i	-0.0574175423775606 - 0.680333015986438i	-0.274437859430831 - 0.365513068642030i	-0.295428519586973 + 0.327076030310696i	-0.0679071650029176 + 0.668974394778122i	0.397858210731155 + 0.756314514212556i	0.781099337812741 + 0.525701216161676i
0.826052362309330 - 0.535696735184894i	0.374428115403279 - 0.775628666558456i	-0.103448339353256 - 0.649454366452801i	-0.312507354867159 - 0.326941595092195i	-0.307921847036166 + 0.386102510749822i	-0.0362224424280538 + 0.665560179950462i	0.344988045987234 + 0.772639369072141i	0.857414431948870 + 0.554884956828454i
0.794838147742072 - 0.513451867290948i	0.363019481907737 - 0.760066632979557i	-0.115003923569484 - 0.669693750773076i	-0.283656895447123 - 0.329522148467723i	-0.277157669401927 + 0.378046069143350i	-0.109445989399747 + 0.677657834226291i	0.364688713546590 + 0.770094176492187i	0.790084198573958 + 0.478710228623680i
0.812995859710834 - 0.518274895954447i	0.359528955028268 - 0.755204127583023i	-0.0359882760392097 - 0.633791153954943i	-0.273364063256960 - 0.355659792875642i	-0.289975893688751 + 0.335505854995076i	-0.0639071639459382 + 0.687512076546022i	0.348376092179265 + 0.745377878087832i	0.791753364632886 + 0.493378453095851i
0.820792983126520 - 0.493014581110242i	0.332501913460328 - 0.743417930211657i	-0.101936273586196 - 0.664917107101899i	-0.297169488931789 - 0.297033167096136i	-0.338346728709584 + 0.362214900931937i	-0.0690475743395211 + 0.645709237286729i	0.343240531823443 + 0.777530924495500i	0.812088521375345 + 0.532248434258823i
0.806222089893420 - 0.527758087206599i	0.337670811519313 - 0.739975460744140i	-0.0789728708016838 - 0.662625680983967i	-0.291403310225267 - 0.368797033720263i	-0.268389781211982 + 0.361455721303843i	-0.0945216324956742 + 0.662793360588069i	0.342140648080188 + 0.747043103342337i	0.793394531381322 + 0.530404134934216i
0.817759998691187 - 0.490677979865239i	0.376037755424252 - 0.763643163774860i	-0.0848383363699120 - 0.668245897298970i	-0.292625256887252 - 0.334578400850454i	-0.293919025599596 + 0.334946773191290i	-0.104547234053806 + 0.648066714889522i	0.362154015131888 + 0.740177108407047i	0.808964045921929 + 0.501340429701160i
0.836598949681734 - 0.548048040008918i	0.331010542987196 - 0.793165117310655i	-0.0901935245814192 - 0.659627861121975i	-0.319935211583064 - 0.344650433662062i	-0.279437137296149 + 0.366168251657859i	-0.0626681947615444 + 0.667687071450925i	0.384137033986230 + 0.728255076791952i	0.801423642920417 + 0.517222962811583i
0.786844878867463 - 0.540510207625811i	0.342513030692976 - 0.726407529264160i	-0.119522607512025 - 0.645750500473894i	-0.297446632158075 - 0.391701945827161i	-0.295676210074683 + 0.367082414065842i	-0.0475619295722122 + 0.638408680008406i	0.367928909074272 + 0.777551857178655i	0.845156111975227 + 0.559319907405526i
0.800303603308643 - 0.520436586425820i	0.331572873254110 - 0.768852345451836i	-0.0616544189892714 - 0.627812451692901i	-0.269135069947269 - 0.345455815100391i	-0.308144313595612 + 0.325740526299681i	-0.112851495989377 + 0.599350884493477i	0.318894166290468 + 0.765527851307338i	0.831491343569015 + 0.515148767792899i
0.820221083581703 - 0.539383447673787i	0.345496378380037 - 0.769452291051148i	-0.0805267842811416 - 0.606895595886956i	-0.271805704826866 - 0.325087258804145i	-0.339611225036790 + 0.355446230901699i	-0.0901210867040966 + 0.684121256248880i	0.373906917575988 + 0.744458862781795i	0.810814015711535 + 0.541561728772751i
0.802851993146747 - 0.534376135406553i	0.337258533651340 - 0.699632221845270i	-0.0632542276346673 - 0.654632086045523i	-0.310207118268037 - 0.357537413279747i	-0.300241864923515 + 0.330538074318417i	-0.0624280468900722 + 0.716156064754801i	0.346181608821666 + 0.763044142633033i	0.774921014439005 + 0.490225326627445i
0.800358715274256 - 0.499785433044360i	0.370591732502041 - 0.742655098021814i	-0.0565716885505601 - 0.677509287290310i	-0.309654661925295 - 0.351056715238398i	-0.295596802828202 + 0.357087265681843i	-0.0913070894485461 + 0.658217734435597i	0.402717673400012 + 0.723228799406823i	0.777159890010746 + 0.562515136185701i
0.848420214481182 - 0.553635953070096i	0.341345199953402 - 0.766262733432185i	-0.0864568288593009 - 0.686055977062467i	-0.270530474054677 - 0.370605521538908i	-0.307326463137495 + 0.323032012519941i	-0.119803290415115 + 0.710962889167549i	0.379564717616238 + 0.780010292904604i	0.811381062164904 + 0.478269887077894i
0.799278683584406 - 0.533019913128535i	0.348426270146074 - 0.801424347144813i	-0.0560632445213646 - 0.659682809106878i	-0.290915534046748 - 0.332353248933298i	-0.300231341837266 + 0.375839157362830i	-0.0985581253580864 + 0.621914716190164i	0.363916166705705 + 0.810255283335296i	0.826850495929648 + 0.526522308351586i
0.812404210990996 - 0.471893789310518i	0.339101295979039 - 0.764075871540458i	-0.0635669358336052 - 0.655385836061849i	-0.275113418361140 - 0.333290618292168i	-0.306473236532619 + 0.364590441601262i	-0.0786079035301202 + 0.677867408503163i	0.350842929939052 + 0.739678443249018i	0.784165692843065 + 0.524896529504371i
0.830141670320912 - 0.507813617354424i	0.394405479424912 - 0.796895602945515i	-0.0966355699489045 - 0.708644941031345i	-0.323671123490596 - 0.366840858331151i	-0.255760351813719 + 0.335488512323804i	-0.0988549460127611 + 0.667264248912716i	0.339404772636928 + 0.775573185583214i	0.792729962329547 + 0.519370853843684i
0.797726257187762 - 0.486120633230072i	0.350587501324153 - 0.763782441924182i	-0.0861429763134084 - 0.695854732442017i	-0.333084447868756 - 0.363893546233784i	-0.281309750193101 + 0.365673040787550i	-0.0974138603014627 + 0.657916603905841i	0.352974706057965 + 0.776698283930294i	0.793296982505633 + 0.525351337580193i
0.812487382747346 - 0.519317612847620i	0.342181608604321 - 0.766836111636154i	-0.0654449527375856 - 0.687027436268026i	-0.302686251043111 - 0.353343565638940i	-0.295817114473755 + 0.356938903379138i	-0.0829187961985679 + 0.658340132852158i	0.363020522034591 + 0.793330633760978i	0.826022910284726 + 0.522399785193091i
0.788171591978151 - 0.503193350683509i	0.353162059455034 - 0.767273237623321i	-0.0873641210697484 - 0.667713372847507i	-0.275002839098595 - 0.378316413269996i	-0.302244102666351 + 0.308387481916580i	-0.0798191997131638 + 0.712433172422301i	0.335993749634201 + 0.759508629774625i	0.855854425648310 + 0.533338269423455i
0.838378418596703 - 0.510314221867593i	0.362006163684615 - 0.784523978061997i	-0.0809436167327480 - 0.669298580399302i	-0.294081477679135 - 0.363484861246784i	-0.277872295929396 + 0.322459715007276i	-0.0928020520873586 + 0.617572805191637i	0.368516687522070 + 0.725972190425621i	0.819018370127226 + 0.528323141597795i
0.748626536621331 - 0.508500998902645i	0.358335216260999 - 0.770796810229741i	-0.0638561766892854 - 0.672004721766722i	-0.313972165716702 - 0.386217992867869i	-0.302698966897601 + 0.337985472451922i	-0.0997160287175512 + 0.693695956462633i	0.381475531349445 + 0.773107737224765i	0.783717777568820 + 0.520331882990380i
0.781865305037619 - 0.511282084807888i	0.366546063069504 - 0.758005341024452i	-0.122788324333574 - 0.650060841454317i	-0.263533429497582 - 0.398514959324742i	-0.298092328875338 + 0.350420191063446i	-0.0961496937850162 + 0.680264559010809i	0.336950938159016 + 0.738754062986129i	0.783830559960915 + 0.530338362770474i
0.752858809431841 - 0.517089283970555i	0.357088080129540 - 0.817447863746185i	-0.0751868707720205 - 0.668965259720199i	-0.303047124888391 - 0.302117771372121i	-0.234927268107569 + 0.372926339205951i	-0.0809284168394179 + 0.691831392765072i	0.342579635556467 + 0.779119580491656i	0.799906630013940 + 0.516124869816321i
0.774029983118308 - 0.527711228771396i	0.348271846065354 - 0.778287743713285i	-0.0175873553201461 - 0.658716298249657i	-0.301999055750877 - 0.336854742043408i	-0.305906015861505 + 0.330349116179825i	-0.0706691198793622 + 0.659007570316170i	0.373594521918787 + 0.755891157170939i	0.816323830625945 + 0.472924819563130i
